date,close,high,low,number_of_trades,open,volume
2021-04-07 11:54:00,56312.0,56325.0,56244.41,3563.0,56280.99,317.892
2021-04-07 11:55:00,56228.82,56322.55,56228.82,3193.0,56309.26,235.617
2021-04-07 11:56:00,56280.0,56308.92,56223.9,3136.0,56228.83,138.876
2021-04-07 11:57:00,56333.45,56358.99,56280.01,2213.0,56280.01,173.062
2021-04-07 11:58:00,56350.0,56350.0,56274.1,3495.0,56333.45,218.254
2021-04-07 11:59:00,56376.7,56388.0,56329.29,3185.0,56347.63,255.059
2021-04-07 12:00:00,56298.94,56374.04,56233.48,4295.0,56374.04,391.764
2021-04-07 12:01:00,56211.26,56312.31,56180.0,3142.0,56296.77,261.243
2021-04-07 12:02:00,56180.71,56253.56,56164.93,3105.0,56211.25,347.050
2021-04-07 12:03:00,56224.99,56234.92,56175.0,2155.0,56180.72,156.356
2021-04-07 12:04:00,56230.65,56238.75,56172.6,2204.0,56224.98,184.879
2021-04-07 12:05:00,56144.01,56232.16,56123.61,2678.0,56230.65,228.838
2021-04-07 12:06:00,56113.28,56157.97,56080.14,3581.0,56144.01,266.587
2021-04-07 12:07:00,56069.57,56170.31,56057.0,3089.0,56113.28,247.946
2021-04-07 12:08:00,56197.98,56226.95,56066.02,2668.0,56069.57,209.645
2021-04-07 12:09:00,56271.93,56279.77,56197.98,2506.0,56197.98,205.619
2021-04-07 12:10:00,56027.36,56287.18,56027.36,4590.0,56275.96,396.038
2021-04-07 12:11:00,55965.88,56074.43,55900.0,8639.0,56030.33,1084.846
2021-04-07 12:12:00,55810.01,56010.5,55810.0,7403.0,55965.88,833.728
2021-04-07 12:13:00,55855.1,55934.9,55800.0,6938.0,55810.01,682.217
2021-04-07 12:14:00,55940.08,55974.87,55820.0,5634.0,55855.09,424.479
2021-04-07 12:15:00,55942.74,56034.2,55905.14,4634.0,55940.08,386.829
2021-04-07 12:16:00,55930.43,55942.75,55669.32,13715.0,55942.75,1347.804
2021-04-07 12:17:00,56214.76,56246.92,55877.24,9861.0,55925.97,970.156
2021-04-07 12:18:00,56218.14,56370.0,56195.98,8045.0,56215.36,859.872
2021-04-07 12:19:00,56294.99,56300.0,56205.9,3065.0,56218.15,217.327
2021-04-07 12:20:00,56228.59,56300.0,56160.88,3923.0,56294.99,528.815
2021-04-07 12:21:00,56127.5,56240.0,56120.6,3053.0,56236.22,242.096
2021-04-07 12:22:00,56150.22,56198.07,56076.55,2739.0,56124.89,234.220
2021-04-07 12:23:00,56097.21,56171.12,56021.0,2814.0,56150.23,258.449
2021-04-07 12:24:00,56170.83,56176.92,56001.9,3056.0,56097.2,237.514
2021-04-07 12:25:00,56265.12,56355.19,56167.17,4955.0,56170.4,510.551
2021-04-07 12:26:00,56280.61,56297.9,56200.0,2761.0,56265.12,230.825
2021-04-07 12:27:00,56248.88,56314.97,56248.87,2160.0,56279.99,186.267
2021-04-07 12:28:00,56229.58,56272.0,56173.85,2753.0,56248.88,215.085
2021-04-07 12:29:00,56199.59,56245.8,56187.13,1609.0,56229.57,98.316
2021-04-07 12:30:00,56269.68,56306.04,56165.0,2930.0,56194.95,327.025
2021-04-07 12:31:00,56305.32,56308.88,56264.98,3262.0,56269.68,343.007
2021-04-07 12:32:00,56298.05,56308.88,56274.0,1789.0,56305.32,138.513
2021-04-07 12:33:00,56294.01,56308.85,56262.66,1990.0,56298.05,191.798
2021-04-07 12:34:00,56338.85,56338.85,56272.5,1804.0,56294.01,155.265
2021-04-07 12:35:00,56276.83,56363.79,56227.75,2927.0,56338.85,272.655
2021-04-07 12:36:00,56346.02,56346.3,56250.13,2146.0,56276.83,220.319
2021-04-07 12:37:00,56336.11,56349.85,56300.96,1669.0,56346.02,144.238
2021-04-07 12:38:00,56399.75,56399.76,56326.46,2560.0,56336.11,234.750
2021-04-07 12:39:00,56512.53,56526.2,56394.54,7918.0,56399.76,820.796
2021-04-07 12:40:00,56518.9,56528.27,56432.0,4177.0,56512.52,419.113
2021-04-07 12:41:00,56440.97,56520.0,56432.94,2638.0,56518.89,247.177
2021-04-07 12:42:00,56416.8,56440.97,56370.01,2492.0,56440.97,188.620
2021-04-07 12:43:00,56463.34,56465.0,56400.0,1573.0,56418.47,92.714
2021-04-07 12:44:00,56427.29,56480.0,56424.01,1943.0,56463.34,167.670
2021-04-07 12:45:00,56357.64,56429.58,56301.7,3069.0,56429.58,302.195
2021-04-07 12:46:00,56327.57,56369.31,56312.9,2086.0,56357.64,195.974
2021-04-07 12:47:00,56392.96,56416.0,56320.0,2002.0,56325.61,182.860
2021-04-07 12:48:00,56471.28,56496.54,56384.6,2852.0,56392.95,314.135
2021-04-07 12:49:00,56515.97,56520.85,56424.8,2773.0,56471.28,276.283
2021-04-07 12:50:00,56482.72,56545.03,56467.75,3010.0,56515.96,273.446
2021-04-07 12:51:00,56509.4,56520.0,56467.75,1966.0,56482.72,157.191
