,SETTLEMENTDATE,TOTALDEMAND,RRP,Tempreture
1,2018-01-01 01:00:00,1242.28,103.31,17.3
3,2018-01-01 02:00:00,1112.46,85.24,17.0
5,2018-01-01 03:00:00,1083.94,80.89,16.6
7,2018-01-01 04:00:00,1032.95,80.1,16.3
9,2018-01-01 05:00:00,1034.12,80.07,16.1
11,2018-01-01 06:00:00,1030.84,73.22,16.2
13,2018-01-01 07:00:00,996.8,79.88,16.7
15,2018-01-01 08:00:00,958.69,79.25,17.7
17,2018-01-01 09:00:00,927.36,78.61,18.9
19,2018-01-01 10:00:00,837.62,80.18,20.3
21,2018-01-01 11:00:00,786.71,83.37,21.6
23,2018-01-01 12:00:00,703.88,72.0,22.7
25,2018-01-01 13:00:00,653.15,73.8,23.6
27,2018-01-01 14:00:00,657.23,78.2,24.1
29,2018-01-01 15:00:00,720.46,69.45,24.3
31,2018-01-01 16:00:00,827.18,78.27,24.2
33,2018-01-01 17:00:00,976.22,73.26,23.6
35,2018-01-01 18:00:00,1107.76,67.88,22.7
37,2018-01-01 19:00:00,1179.61,70.03,21.6
39,2018-01-01 20:00:00,1241.27,77.99,20.4
41,2018-01-01 21:00:00,1266.99,76.64,19.3
43,2018-01-01 22:00:00,1238.4,72.1,18.5
45,2018-01-01 23:00:00,1149.34,63.64,18.0
47,2018-01-02 00:00:00,1342.3,63.47,17.6
49,2018-01-02 01:00:00,1206.39,60.85,16.8
51,2018-01-02 02:00:00,1120.13,58.33,16.5
53,2018-01-02 03:00:00,1084.9,61.52,16.2
55,2018-01-02 04:00:00,1048.75,61.59,15.8
57,2018-01-02 05:00:00,1049.06,73.86,15.6
59,2018-01-02 06:00:00,1077.91,76.61,15.8
61,2018-01-02 07:00:00,1096.98,84.64,16.3
63,2018-01-02 08:00:00,1128.73,80.3,17.2
65,2018-01-02 09:00:00,1111.81,86.01,18.4
67,2018-01-02 10:00:00,1065.14,71.8,19.7
69,2018-01-02 11:00:00,962.55,73.59,21.0
71,2018-01-02 12:00:00,927.48,77.3,22.1
73,2018-01-02 13:00:00,898.3,73.68,22.9
75,2018-01-02 14:00:00,853.85,66.33,23.4
77,2018-01-02 15:00:00,861.63,62.95,23.6
79,2018-01-02 16:00:00,946.15,66.62,23.5
81,2018-01-02 17:00:00,1061.74,64.81,22.9
83,2018-01-02 18:00:00,1184.53,62.57,22.1
85,2018-01-02 19:00:00,1279.48,72.9,21.0
87,2018-01-02 20:00:00,1271.37,74.68,19.8
89,2018-01-02 21:00:00,1269.04,68.47,18.8
91,2018-01-02 22:00:00,1225.68,60.84,18.0
93,2018-01-02 23:00:00,1184.06,62.58,17.5
95,2018-01-03 00:00:00,1374.92,69.22,17.1
97,2018-01-03 01:00:00,1257.56,57.62,17.5
99,2018-01-03 02:00:00,1114.33,49.07,17.2
101,2018-01-03 03:00:00,1126.2,52.59,16.8
103,2018-01-03 04:00:00,1091.4,57.12,16.4
105,2018-01-03 05:00:00,1066.21,59.5,16.3
107,2018-01-03 06:00:00,1156.22,66.95,16.4
109,2018-01-03 07:00:00,1202.76,74.46,16.9
111,2018-01-03 08:00:00,1186.04,75.02,17.9
113,2018-01-03 09:00:00,1173.28,78.55,19.1
115,2018-01-03 10:00:00,1111.81,80.67,20.5
117,2018-01-03 11:00:00,1015.16,82.44,21.8
119,2018-01-03 12:00:00,958.95,82.02,22.9
121,2018-01-03 13:00:00,935.97,77.27,23.8
123,2018-01-03 14:00:00,958.73,81.07,24.3
125,2018-01-03 15:00:00,985.34,77.46,24.6
127,2018-01-03 16:00:00,1043.71,73.39,24.4
129,2018-01-03 17:00:00,1178.34,75.13,23.8
131,2018-01-03 18:00:00,1257.79,70.99,22.9
133,2018-01-03 19:00:00,1310.46,81.34,21.8
135,2018-01-03 20:00:00,1342.55,76.1,20.6
137,2018-01-03 21:00:00,1364.61,65.46,19.5
139,2018-01-03 22:00:00,1294.74,64.21,18.7
141,2018-01-03 23:00:00,1231.81,63.8,18.2
143,2018-01-04 00:00:00,1430.53,70.42,17.8
145,2018-01-04 01:00:00,1286.28,62.57,17.2
147,2018-01-04 02:00:00,1158.89,53.2,16.9
149,2018-01-04 03:00:00,1125.9,56.52,16.6
151,2018-01-04 04:00:00,1102.69,54.99,16.2
153,2018-01-04 05:00:00,1142.86,56.9,16.0
155,2018-01-04 06:00:00,1189.45,63.81,16.2
157,2018-01-04 07:00:00,1274.17,86.71,16.7
159,2018-01-04 08:00:00,1259.33,103.82,17.6
161,2018-01-04 09:00:00,1184.84,99.2,18.8
163,2018-01-04 10:00:00,1116.9,90.58,20.2
165,2018-01-04 11:00:00,1079.93,109.22,21.4
167,2018-01-04 12:00:00,1078.04,97.83,22.6
169,2018-01-04 13:00:00,1103.19,88.37,23.4
171,2018-01-04 14:00:00,1150.38,95.12,24.0
173,2018-01-04 15:00:00,1247.85,94.92,24.2
175,2018-01-04 16:00:00,1393.48,113.92,24.0
177,2018-01-04 17:00:00,1487.7,108.84,23.5
179,2018-01-04 18:00:00,1583.3,106.15,22.6
181,2018-01-04 19:00:00,1630.22,76.05,21.5
183,2018-01-04 20:00:00,1610.97,105.0,20.3
185,2018-01-04 21:00:00,1565.76,97.93,19.2
187,2018-01-04 22:00:00,1421.08,71.59,18.4
189,2018-01-04 23:00:00,1328.21,66.06,17.9
191,2018-01-05 00:00:00,1472.64,122.27,17.6
193,2018-01-05 01:00:00,1311.43,82.35,22.4
195,2018-01-05 02:00:00,1190.46,62.52,22.0
197,2018-01-05 03:00:00,1161.0,61.4,21.5
199,2018-01-05 04:00:00,1099.28,55.88,21.1
201,2018-01-05 05:00:00,1122.76,58.32,20.8
203,2018-01-05 06:00:00,1181.12,74.26,21.0
205,2018-01-05 07:00:00,1277.2,118.22,21.7
207,2018-01-05 08:00:00,1286.83,91.48,22.9
209,2018-01-05 09:00:00,1302.76,100.41,24.5
211,2018-01-05 10:00:00,1285.57,82.8,26.2
213,2018-01-05 11:00:00,1295.88,79.65,27.9
215,2018-01-05 12:00:00,1424.62,104.21,29.3
217,2018-01-05 13:00:00,1555.82,103.05,30.4
219,2018-01-05 14:00:00,1677.56,113.04,31.1
221,2018-01-05 15:00:00,1850.7,112.55,31.4
223,2018-01-05 16:00:00,1993.45,132.96,31.2
225,2018-01-05 17:00:00,2157.05,157.66,30.5
227,2018-01-05 18:00:00,2276.88,189.37,29.3
229,2018-01-05 19:00:00,2317.52,132.55,27.9
231,2018-01-05 20:00:00,2207.97,122.05,26.4
233,2018-01-05 21:00:00,2026.59,96.03,25.0
235,2018-01-05 22:00:00,1791.78,93.6,24.0
237,2018-01-05 23:00:00,1605.88,79.13,23.3
239,2018-01-06 00:00:00,1684.32,76.77,22.8
241,2018-01-06 01:00:00,1422.28,67.66,28.9
243,2018-01-06 02:00:00,1277.25,55.69,28.4
245,2018-01-06 03:00:00,1224.87,43.51,27.9
247,2018-01-06 04:00:00,1189.63,40.23,27.3
249,2018-01-06 05:00:00,1181.85,39.8,27.0
251,2018-01-06 06:00:00,1229.95,39.88,27.2
253,2018-01-06 07:00:00,1298.58,53.98,28.0
255,2018-01-06 08:00:00,1389.15,63.84,29.6
257,2018-01-06 09:00:00,1528.96,74.54,31.6
259,2018-01-06 10:00:00,1648.72,89.39,33.8
261,2018-01-06 11:00:00,1802.03,67.16,36.0
263,2018-01-06 12:00:00,1863.05,75.82,37.9
265,2018-01-06 13:00:00,1951.56,90.46,39.3
267,2018-01-06 14:00:00,1909.94,90.34,40.2
269,2018-01-06 15:00:00,1919.04,100.16,40.6
271,2018-01-06 16:00:00,2040.33,112.85,40.3
273,2018-01-06 17:00:00,2055.89,98.52,39.4
275,2018-01-06 18:00:00,2087.79,93.53,37.9
277,2018-01-06 19:00:00,1995.2,98.75,36.0
279,2018-01-06 20:00:00,1800.82,91.38,34.1
281,2018-01-06 21:00:00,1646.29,87.93,32.3
283,2018-01-06 22:00:00,1445.96,69.69,31.0
285,2018-01-06 23:00:00,1315.29,70.27,30.1
287,2018-01-07 00:00:00,1483.08,92.35,29.5
289,2018-01-07 01:00:00,1267.78,77.53,20.1
291,2018-01-07 02:00:00,1122.58,56.66,19.8
293,2018-01-07 03:00:00,1110.67,55.25,19.4
295,2018-01-07 04:00:00,1051.83,55.4,19.0
297,2018-01-07 05:00:00,1047.33,52.74,18.7
299,2018-01-07 06:00:00,1059.46,54.17,18.9
301,2018-01-07 07:00:00,1057.27,55.15,19.5
303,2018-01-07 08:00:00,1029.76,69.7,20.6
305,2018-01-07 09:00:00,1044.2,93.82,22.0
307,2018-01-07 10:00:00,977.68,83.8,23.5
309,2018-01-07 11:00:00,850.66,96.48,25.0
311,2018-01-07 12:00:00,854.44,98.35,26.3
313,2018-01-07 13:00:00,862.62,88.35,27.3
315,2018-01-07 14:00:00,1088.97,96.76,28.0
317,2018-01-07 15:00:00,1179.05,110.6,28.2
319,2018-01-07 16:00:00,1326.76,107.99,28.0
321,2018-01-07 17:00:00,1385.67,130.51,27.4
323,2018-01-07 18:00:00,1408.22,102.42,26.3
