,SETTLEMENTDATE,TOTALDEMAND,RRP,Tempreture,log_price
1,1/1/2018 1:00,1242.28,103.31,17.3,3.322903287
3,1/1/2018 2:00,1112.46,85.24,17,3.319156047
5,1/1/2018 3:00,1083.94,80.89,16.6,3.318249123
7,1/1/2018 4:00,1032.95,80.1,16.3,3.318084214
9,1/1/2018 5:00,1034.12,80.07,16.1,3.31807795
11,1/1/2018 6:00,1030.84,73.22,16.2,3.31664539
13,1/1/2018 7:00,996.8,79.88,16.7,3.318038279
15,1/1/2018 8:00,958.69,79.25,17.7,3.31790671
17,1/1/2018 9:00,927.36,78.61,18.9,3.317773012
19,1/1/2018 10:00,837.62,80.18,20.3,3.318100917
21,1/1/2018 11:00,786.71,83.37,21.6,3.318766406
23,1/1/2018 12:00,703.88,72,22.7,3.316389751
25,1/1/2018 13:00,653.15,73.8,23.6,3.31676687
27,1/1/2018 14:00,657.23,78.2,24.1,3.31768734
29,1/1/2018 15:00,720.46,69.45,24.3,3.315854938
31,1/1/2018 16:00,827.18,78.27,24.2,3.317701969
33,1/1/2018 17:00,976.22,73.26,23.6,3.316653769
35,1/1/2018 18:00,1107.76,67.88,22.7,3.315525333
37,1/1/2018 19:00,1179.61,70.03,21.6,3.31597664
39,1/1/2018 20:00,1241.27,77.99,20.4,3.317643453
41,1/1/2018 21:00,1266.99,76.64,19.3,3.317361215
43,1/1/2018 22:00,1238.4,72.1,18.5,3.316410711
45,1/1/2018 23:00,1149.34,63.64,18,3.314633937
47,1/2/2018 0:00,1342.3,63.47,17.6,3.314598159
49,1/2/2018 1:00,1206.39,60.85,16.8,3.314046383
51,1/2/2018 2:00,1120.13,58.33,16.5,3.313515004
53,1/2/2018 3:00,1084.9,61.52,16.2,3.314187553
55,1/2/2018 4:00,1048.75,61.59,15.8,3.314202299
57,1/2/2018 5:00,1049.06,73.86,15.6,3.316779435
59,1/2/2018 6:00,1077.91,76.61,15.8,3.317354941
61,1/2/2018 7:00,1096.98,84.64,16.3,3.319031067
63,1/2/2018 8:00,1128.73,80.3,17.2,3.318125969
65,1/2/2018 9:00,1111.81,86.01,18.4,3.319316386
67,1/2/2018 10:00,1065.14,71.8,19.7,3.316347829
69,1/2/2018 11:00,962.55,73.59,21,3.31672289
71,1/2/2018 12:00,927.48,77.3,22.1,3.317499221
73,1/2/2018 13:00,898.3,73.68,22.9,3.316741739
75,1/2/2018 14:00,853.85,66.33,23.4,3.315199681
77,1/2/2018 15:00,861.63,62.95,23.6,3.314488702
79,1/2/2018 16:00,946.15,66.62,23.5,3.315260628
81,1/2/2018 17:00,1061.74,64.81,22.9,3.314880095
83,1/2/2018 18:00,1184.53,62.57,22.1,3.314408697
85,1/2/2018 19:00,1279.48,72.9,21,3.316578352
87,1/2/2018 20:00,1271.37,74.68,19.8,3.31695112
89,1/2/2018 21:00,1269.04,68.47,18.8,3.315649226
91,1/2/2018 22:00,1225.68,60.84,18,3.314044275
93,1/2/2018 23:00,1184.06,62.58,17.5,3.314410802
95,1/3/2018 0:00,1374.92,69.22,17.1,3.315806667
97,1/3/2018 1:00,1257.56,57.62,17.5,3.313365173
99,1/3/2018 2:00,1114.33,49.07,17.2,3.311556795
101,1/3/2018 3:00,1126.2,52.59,16.8,3.312302209
103,1/3/2018 4:00,1091.4,57.12,16.4,3.313259627
105,1/3/2018 5:00,1066.21,59.5,16.3,3.313761796
